  Loading openmpi/4.0.3 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.26
4                       2.52
8                       5.08
16                     10.22
32                     20.21
64                     40.60
128                    77.86
256                   153.17
512                   296.18
1024                  538.47
2048                  755.05
4096                  926.08
8192                 1064.16
16384                1108.26
32768                1307.24
65536                1423.52
131072               1485.79
262144               1503.68
524288               1521.83
1048576              1531.94
2097152              1537.81
4194304              1540.27
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       3.50
1                       3.56
2                       3.55
4                       3.55
8                       3.63
16                      3.65
32                      3.69
64                      3.85
128                     4.82
256                     5.27
512                     5.96
1024                    7.29
2048                    9.69
4096                   12.51
8192                   18.40
16384                  26.24
32768                  36.70
65536                  57.68
131072                100.51
262144                187.11
524288                357.67
1048576               698.34
2097152              1377.96
4194304              2749.24
