  Loading openmpi/4.0.3 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.68
2                       9.40
4                      19.00
8                      34.92
16                     69.27
32                    135.01
64                    219.65
128                   355.36
256                   616.03
512                  1330.95
1024                 2414.09
2048                 4139.89
4096                 1244.50
8192                 2033.35
16384                2748.69
32768                3766.68
65536                4613.72
131072               5265.18
262144               5680.84
524288               5848.86
1048576              6007.44
2097152              5882.27
4194304              1625.64
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.44
1                       0.49
2                       0.49
4                       0.48
8                       0.48
16                      0.47
32                      0.47
64                      0.51
128                     0.59
256                     0.61
512                     0.85
1024                    1.01
2048                    1.33
4096                    3.86
8192                    4.73
16384                   6.51
32768                   9.24
65536                  14.76
131072                 25.47
262144                 47.18
524288                 90.42
1048576               184.47
2097152              1304.81
4194304              2858.76
