Number of bodies,Time,Threads
1000,0.253772,1
2000,0.597931,1
3000,1.011679,1
4000,1.398284,1
5000,1.801413,1
6000,2.25243,1
7000,2.643551,1
8000,3.073984,1
9000,3.508749,1
10000,3.989756,1
1000,0.154046,2
2000,0.35439,2
3000,0.510473,2
4000,0.737455,2
5000,0.946719,2
6000,1.184349,2
7000,1.424365,2
8000,1.672118,2
9000,1.948042,2
10000,2.268531,2
1000,0.144458,3
2000,0.309897,3
3000,0.513407,3
4000,0.727363,3
5000,0.943388,3
6000,1.228827,3
7000,1.574366,3
8000,1.686479,3
9000,1.875612,3
10000,2.101047,3
1000,0.124182,4
2000,0.281828,4
3000,0.462767,4
4000,0.64278,4
5000,0.860583,4
6000,1.025655,4
7000,1.235353,4
8000,1.4266,4
9000,1.75698,4
10000,2.005016,4
1000,0.132063,5
2000,0.277624,5
3000,0.462087,5
4000,0.619003,5
5000,0.835358,5
6000,1.004487,5
7000,1.227356,5
8000,1.413822,5
9000,1.658825,5
10000,1.897815,5
1000,0.115211,6
2000,0.264825,6
3000,0.422529,6
4000,0.571029,6
5000,0.781499,6
6000,0.963364,6
7000,1.265525,6
8000,1.34499,6
9000,1.568168,6
10000,1.714395,6
1000,0.111288,7
2000,0.246957,7
3000,0.391811,7
4000,0.547743,7
5000,0.728478,7
6000,0.892222,7
7000,1.095207,7
8000,1.221497,7
9000,1.432268,7
10000,1.564564,7
1000,0.174647,8
2000,0.239738,8
3000,1.717209,8
4000,0.508662,8
5000,0.718355,8
6000,0.851863,8
7000,1.09257,8
8000,1.228001,8
9000,1.427345,8
10000,1.571443,8
1000,0.811347,1
2000,1.902931,1
3000,2.947330,1
4000,4.153057,1
5000,5.583135,1
6000,6.710659,1
7000,7.976377,1
8000,9.321210,1
9000,10.676018,1
10000,12.270941,1
1000,0.468287,2
2000,1.043658,2
3000,1.636294,2
4000,2.288614,2
5000,2.986460,2
6000,3.567967,2
7000,4.458413,2
8000,5.077923,2
9000,5.698524,2
10000,6.417180,2
1000,0.336687,3
2000,0.738772,3
3000,1.163054,3
4000,1.626607,3
5000,2.107290,3
6000,2.588899,3
7000,3.033192,3
8000,3.569870,3
9000,4.070882,3
10000,4.715756,3
1000,0.284716,4
2000,0.603166,4
3000,0.947284,4
4000,1.323951,4
5000,1.699680,4
6000,2.087331,4
7000,2.475963,4
8000,2.847808,4
9000,3.285098,4
10000,3.674878,4
1000,0.245874,5
2000,0.526195,5
3000,0.807074,5
4000,1.115864,5
5000,1.441828,5
6000,1.770691,5
7000,2.094064,5
8000,2.436153,5
9000,2.758433,5
10000,3.126223,5
1000,0.231525,6
2000,0.477275,6
3000,0.724213,6
4000,0.997213,6
5000,1.281299,6
6000,1.566341,6
7000,1.849128,6
8000,2.136381,6
9000,2.439580,6
10000,2.738429,6
1000,0.208918,7
2000,0.434612,7
3000,0.657328,7
4000,0.918057,7
5000,1.165542,7
6000,1.426628,7
7000,1.673897,7
8000,1.940920,7
9000,2.200887,7
10000,2.464734,7
1000,0.199942,8
2000,0.400268,8
3000,0.614805,8
4000,0.841672,8
5000,1.081810,8
6000,1.310066,8
7000,1.547058,8
8000,1.787975,8
9000,2.029066,8
10000,2.281308,8
