  Loading openmpi/4.0.3 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.57
2                       9.17
4                      18.55
8                      36.86
16                     66.91
32                    131.39
64                    217.09
128                   368.71
256                   622.73
512                  1337.98
1024                 2434.55
2048                 4157.13
4096                 1528.93
8192                 2322.14
16384                3047.29
32768                4025.26
65536                4793.06
131072               5407.15
262144               5726.63
524288               5875.93
1048576              5675.99
2097152              5554.48
4194304              1604.64
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.44
1                       0.49
2                       0.48
4                       0.68
8                       0.71
16                      0.83
32                      0.84
64                      0.92
128                     1.20
256                     1.43
512                     2.17
1024                    3.02
2048                    4.75
4096                    4.79
8192                    5.69
16384                   7.42
32768                  10.15
65536                  15.61
131072                 26.57
262144                 48.60
524288                 92.12
1048576               179.21
2097152               369.55
4194304              2592.95
